과제##컴퓨터구조##문제풀기##2021/10/11##2021/10/14 16:05:00##스터디##뉴턴중앙
과제##실전프로젝트1##리포트##2021/12/11##2021/10/14 16:15:59##혼자##기숙사
과제##컴퓨터구조##코딩##2021/10/21##2021/10/14 16:16:23##혼자##뉴턴홀
집##집에가기##치과##2021/11/11##2021/10/14 16:17:30##동생##치과
축제##공연##연습##2021/11/03##2021/10/14 16:18:01##찬양팀##효암채플
축제##기도회##다같이##2021/11/01##2021/10/14 16:18:39##축제연합팀##채플별관
과제##컴퓨터비전##리포트##2021/11/12##2021/10/14 16:19:54##혼자##기숙사
과제##컴퓨터비전##코딩##2021/11/13##2021/10/14 16:20:15##혼자##뉴턴홀
과제##공프기##소감문##2021/10/11##2021/10/14 16:20:32##혼자##뉴턴홀
과제##채플##소감문##2021/11/01##2021/10/14 16:20:56##혼자##방
과제##실전프로젝트##데모만들기##2021/11/12##2021/10/14 16:21:43##혼자##뉴턴홀
회의##랩실##실험상세설명##2021/11/06##2021/10/14 16:22:14##공프기팀원##랩실
회의##물리학실험##실험결과정리##2021/11/08##2021/10/14 16:22:42##조원##현동홀
회의##가족회의##여행지선택##2021/11/09##2021/10/14 16:23:33##가족##줌
회의##여행##여행지선정##2021/10/12##2021/10/14 16:24:15##친구들##카페
공부##컴퓨터구조##3과까지##2021/111/223##2021/10/14 16:24:42##혼자##기숙사
공부##컴퓨터비전##배운곳까지##2021/11/23##2021/10/14 16:25:01##혼자##기숙사
공부##미분방정식##1계미방##2021/11/29##2021/10/14 16:25:20##혼자##도서관
공부##미분방정식##복습##2021/11/21##2021/10/14 16:25:40##혼자##도서관
공부##공프기##논문읽기##2021/12/30##2021/10/14 16:25:58##혼자##뉴턴홀
공부##공프기##논문읽기##2021/12/21##2021/10/14 16:26:21##혼자##뉴턴홀
공부##물리학개론##중간고사##10/18##2021/10/14 16:26:48##혼자##기숙사
공부##물리학개론##기말고사##12/17##2021/10/14 16:27:09##혼자##기숙사
공부##물리학실험##엑셀공부하기##2021/12/18##2021/10/14 16:27:34##조원들##현동홀
취미##책읽기##경제학강의##2021/11/12##2021/10/14 16:28:00##혼자##기숙사
취미##책읽기##헌법쉽게읽기##2021/12/21##2021/10/14 16:28:18##혼자##기숙사
취미##피아노##연주곡연습##2021/12/31##2021/10/14 16:28:35##혼자##집
취미##피아노##반주연습##2021/12/31##2021/10/14 16:28:55##혼자##집
취미##기타##반주연습##2022/01/03##2021/10/14 16:29:30##동생들##집
취미##기타##가요연습##2022/03/31##2021/10/14 16:29:46##동생들##집
취미##필라테스##아침에가기##2022/02/21##2021/10/14 16:30:03##엄마##학원
취미##탁구##학원등록##2022/02/12##2021/10/14 16:30:24##동생##탁구장
취미##영화##이터널선샤인##2022/06/12##2021/10/14 16:30:45##혼자##집
취미##영화##클래식##2022/08/12##2021/10/14 16:31:02##혼자##집
취미##영화##엽기적인그녀##2022/09/12##2021/10/14 16:31:38##혼자##기숙사
취미##피겨스케이팅##꼭하기##2022/12/31##2021/10/14 16:32:00##혼자##아이스링크
교양##시사공부##강의듣기##2021/12/31##2021/10/14 16:32:27##혼자##기숙사
신앙##성경읽기##로마서1장##2021/10/19##2021/10/14 16:32:58##FGBS##오석
신앙##성경읽기##창세기1##2021/10/18##2021/10/14 16:33:24##혼자##방
신앙##큐티##아침에하기##2021/11/09##2021/10/14 16:33:45##혼자##기숙사
신앙##공동체##참여하기##2021/12/31##2021/10/14 16:34:06##공동체원##채플
신앙##예배##오프라인##2021/11/23##2021/10/14 16:34:24##혼자##채플
기타##할머니집##과일사가기##2021/12/09##2021/10/14 16:34:57##가족##부산
기타##운전연습##매일하기##2022/12/01##2021/10/14 16:35:16##혼자##포항
기타##아빠생일##선물준비##2021/12/07##2021/10/14 16:35:37##가족##본가
기타##쉬기##꼭자기##2021/12/21##2021/10/14 16:35:54##혼자##기숙사
기타##여행##혼자가기##2022/12/31##2021/10/14 16:36:11##혼자##전국
기타##영어공부##단어외우기##2021/12/20##2021/10/14 16:36:32##혼자##기숙사
기타##영어공부##오픽##2021/12/24##2021/10/14 16:36:49##혼자##기숙사
기타##영어공부##토익##2021/12/27##2021/10/14 16:37:04##혼자##기숙사
기타##일본어##진격의거인##2021/12/31##2021/10/14 16:37:21##혼자##기숙사
